COUNTY,SCENARIO,AREA,YEAR,TECHNOLOGY,VALUE
Kilifi,SDG,Urban,2033,Electric (coil/induction),8
Kilifi,SDG,Urban,2033,LPG Meko,40
Kilifi,SDG,Urban,2033,LPG Stove,20
Nyandarua,Baseline,Rural,2023,Biogas technology,0.3
Nyandarua,Baseline,Rural,2023,Charcoal ICS,29
Nyandarua,Baseline,Rural,2023,Kerosene,9
Nyandarua,Baseline,Rural,2023,LPG Meko,38
Nyandarua,Baseline,Rural,2023,LPG Stove,7
Nyandarua,Baseline,Rural,2023,Metallic Charcoal stove,29
Nyandarua,Baseline,Rural,2023,TSOF,73
Nyandarua,Baseline,Rural,2023,Wood ICS,11
Nyandarua,Baseline,Rural,2028,Bioethanol,2.5
Nyandarua,Baseline,Rural,2028,Biogas technology,0.4
Nyandarua,Baseline,Rural,2028,Charcoal ICS,32
Nyandarua,Baseline,Rural,2028,EPC,0.5
Nyandarua,Baseline,Rural,2028,Electric Stove (coil/induction),1
Nyandarua,Baseline,Rural,2028,Gasifier Stove,2.5
Nyandarua,Baseline,Rural,2028,Kerosene,5
Nyandarua,Baseline,Rural,2028,LPG Meko,42
Nyandarua,Baseline,Rural,2028,LPG Stove,10
Nyandarua,Baseline,Rural,2028,Metallic Charcoal stove,22
Nyandarua,Baseline,Rural,2028,TSOF,49
Nyandarua,Baseline,Rural,2028,Wood ICS,31
Nyandarua,Baseline,Rural,2033,Bioethanol,5
Nyandarua,Baseline,Rural,2033,Biogas technology,0.4
Nyandarua,Baseline,Rural,2033,Charcoal ICS,35
Nyandarua,Baseline,Rural,2033,EPC,1
Nyandarua,Baseline,Rural,2033,Electric Stove (coil/induction),2
Nyandarua,Baseline,Rural,2033,Gasifier Stove,5
Nyandarua,Baseline,Rural,2033,LPG Meko,45
Nyandarua,Baseline,Rural,2033,LPG Stove,12
Nyandarua,Baseline,Rural,2033,Metallic Charcoal stove,15
Nyandarua,Baseline,Rural,2033,TSOF,25
Nyandarua,Baseline,Rural,2033,Wood ICS,50
Nyandarua,Baseline,Urban,2023,Charcoal ICS,30
Nyandarua,Baseline,Urban,2023,Electric Stove (coil/induction),2
Nyandarua,Baseline,Urban,2023,Kerosene,1
Nyandarua,Baseline,Urban,2023,LPG Meko,50
Nyandarua,Baseline,Urban,2023,LPG Stove,9
Nyandarua,Baseline,Urban,2023,Metallic Charcoal stove,50
Nyandarua,Baseline,Urban,2023,TSOF,65
Nyandarua,Baseline,Urban,2023,Wood ICS,7
Nyandarua,Baseline,Urban,2028,Bioethanol,5
Nyandarua,Baseline,Urban,2028,Charcoal ICS,33
Nyandarua,Baseline,Urban,2028,EPC,1.5
Nyandarua,Baseline,Urban,2028,Electric Stove (coil/induction),3.5
Nyandarua,Baseline,Urban,2028,Gasifier Stove,5
Nyandarua,Baseline,Urban,2028,Kerosene,0.5
Nyandarua,Baseline,Urban,2028,LPG Meko,55
Nyandarua,Baseline,Urban,2028,LPG Stove,15
Nyandarua,Baseline,Urban,2028,Metallic Charcoal stove,37.5
Nyandarua,Baseline,Urban,2028,TSOF,40
Nyandarua,Baseline,Urban,2028,Wood ICS,18.5
Nyandarua,Baseline,Urban,2033,Bioethanol,10
